#Lothringer et al. 2025
#wvl_cen_um wvl_width_um rp_rs2 rp_rs2_unc
0.8125 0.012499999999999956 0.01121575219346649 0.00010635716596173341
0.8375 0.012499999999999956 0.011343094136662943 0.00010038446737864844
0.8625 0.012499999999999956 0.011441675313557291 6.851077586409051e-05
0.8875 0.012499999999999956 0.011513068293439593 6.392945184775248e-05
0.9125 0.012499999999999956 0.011454444719935005 6.486813710906317e-05
0.9375 0.012499999999999956 0.011461435784154315 4.642483030897017e-05
0.9625 0.012499999999999956 0.011594168084910346 4.790546322101048e-05
0.9875 0.012499999999999956 0.011390125390598832 6.098109783123801e-05
1.0125 0.012499999999999956 0.01141296707979587 5.281411732583323e-05
1.0375 0.012499999999999956 0.011374535256647887 5.603601827662881e-05
1.0625 0.012499999999999956 0.01151156099021201 5.596434175155494e-05
1.0875 0.012499999999999956 0.01148709028209262 5.9501012984132126e-05
1.1125 0.012499999999999956 0.011377490314010684 7.672960868194585e-05
1.1375 0.012499999999999956 0.011423945379464812 8.867981309710841e-05
1.12625 0.010950000000000015 0.01147715277646439 6.934661327254208e-05
1.14775 0.01055000000000006 0.011349692581505982 7.843953883940643e-05
1.1686 0.010299999999999976 0.01134210959469753 7.761092752824633e-05
1.1888 0.00990000000000002 0.011427504387132728 6.599085629418356e-05
1.20835 0.009649999999999936 0.0113443392674859 7.099866764272997e-05
1.2275 0.009500000000000064 0.011264259508456081 5.439594796309726e-05
1.24645 0.009449999999999958 0.011448818561417452 7.109994951771026e-05
1.2655 0.009600000000000053 0.011260841984828598 7.618685150953933e-05
1.28475 0.009649999999999936 0.01132457779068231 8.049586706871885e-05
1.3038 0.009400000000000075 0.011333526005571653 6.876151168783386e-05
1.3226 0.009400000000000075 0.011303879361117895 7.519633612766611e-05
1.34145 0.009449999999999958 0.011274384669336434 7.214564428233245e-05
1.3605 0.009600000000000053 0.011491235025619653 7.853486278033885e-05
1.38005 0.009949999999999903 0.011503930037322635 6.404222677560153e-05
1.4 0.010000000000000009 0.011380449510552726 7.553278808244801e-05
1.42015 0.010150000000000103 0.011231858351980819 8.312665680708352e-05
1.4406 0.010299999999999976 0.011358341536450647 8.141537955021616e-05
1.4615 0.010599999999999943 0.01132414639945577 7.942459596183593e-05
1.4831 0.010999999999999899 0.011208787932471601 6.527173507268922e-05
1.5053 0.011200000000000099 0.01124078426101265 7.016711545850363e-05
1.528 0.011500000000000066 0.011197866206327418 7.245308030663563e-05
1.55155 0.012049999999999894 0.011210187845964066 7.976509435444288e-05
1.57625 0.01265000000000005 0.011112989230295418 9.577715140707817e-05
1.6021 0.0132000000000001 0.011071385123965534 9.480354663978901e-05
1.62945 0.014150000000000107 0.011044118694799708 0.00010214508525342108
