Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
TOI-3714,TOI-3714 b,0.099,0.094,0.7,222.47988,1.01,11.321,750.0,M2,15.7,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-3714,TOI-3714 b,0.099,0.094,0.7,222.47988,1.01,11.321,750.0,M2,15.7,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-5205,TOI-5205 b,0.096,0.136,1.08,343.0,1.03,11.6,737.0,M4.0,15.899,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-5205,TOI-5205 b,0.096,0.136,1.08,343.0,1.03,11.6,737.0,M4.0,15.899,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
TOI-5205,TOI-5205 b,0.096,0.136,1.08,343.0,1.03,11.6,737.0,M4.0,15.899,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,3171,Kanodia
LTT9779,LTT 9779 b,0.08,0.051,0.09225,29.32,0.421,4.72,1978.0,G7 V,9.79,PhaseC,NIRSPEC.BOTS+G395H,Archived,GO,3231,Crossfield
KEPLER-86,PH2 b,0.036,0.0,0.274,87.08498,0.833,9.337,295.0,nan,12.645,PhaseC,NIRSPEC.BOTS+PRISM,Archived,GO,3235,Fortney
TOI-1685,TOI-1685 b,0.055,0.011,0.00953,3.03,0.131,1.468,1062.0,M2.65 V,13.378,PhaseC,NIRSPEC.BOTS+G395H,Archived,GO,3263,Luque
HD-133112,WASP-189 b,0.341,0.907,1.99,632.47853,1.619,18.147,3353.0,nan,6.59776,Transit,NIRISS.SOSS,Archived,GO,3279,Hoeijmakers
K2-22,K2-22 b,0.0,0.006,1.4,444.962,0.205,2.3,2100.0,M0 V,15.565,see_phase,MIRI.LRS,Archived,GO,3315,Wright
K2-22,K2-22 b,0.0,0.006,1.4,444.962,0.205,2.3,2100.0,M0 V,15.565,see_phase,MIRI.LRS,Archived,GO,3315,Wright
K2-22,K2-22 b,0.0,0.006,1.4,444.962,0.205,2.3,2100.0,M0 V,15.565,Transit,MIRI.LRS,Archived,GO,3315,Wright
