Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
55CNC,55 Cnc e,0.212,0.098,0.02514,7.99,0.167,1.875,1958.0,G8 V,5.95084,Eclipse,NIRCAM.GRISMR+F444W,Archived,GO,2084,Brandeker
55CNC,55 Cnc e,0.212,0.098,0.02514,7.99,0.167,1.875,1958.0,G8 V,5.95084,Eclipse,NIRCAM.GRISMR+F444W,Archived,GO,2084,Brandeker
55CNC,55 Cnc e,0.212,0.098,0.02514,7.99,0.167,1.875,1958.0,G8 V,5.95084,Eclipse,NIRCAM.GRISMR+F444W,Archived,GO,2084,Brandeker
55CNC,55 Cnc e,0.212,0.098,0.02514,7.99,0.167,1.875,1958.0,G8 V,5.95084,Eclipse,NIRCAM.GRISMR+F444W,Skipped,GO,2084,Brandeker
55CNC,55 Cnc e,0.212,0.098,0.02514,7.99,0.167,1.875,1958.0,G8 V,5.95084,Eclipse,NIRCAM.GRISMR+F444W,Archived,GO,2084,Brandeker
CD-38-2551,WASP-63 b,0.271,0.161,0.37,117.5971,1.41,15.805,1470.0,nan,11.155,Transit,NIRISS.SOSS,Archived,GO,2113,Espinoza
V-V1298-TAU,V1298 Tau e,0.034,0.017,1.01,321.00669,0.89,9.976,492.0,K1,10.115,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2149,Desert
V-V1298-TAU,V1298 Tau e,0.034,0.017,1.01,321.00669,0.89,9.976,492.0,K1,10.115,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2149,Desert
NGTS-10,NGTS-10 b,0.032,0.169,2.162,687.14846,1.205,13.507,1332.0,K5 V,14.506,PhaseC,NIRSPEC.BOTS+PRISM,Archived,GO,2158,Parmentier
K2-141,K2-141 b,0.038,0.017,0.01564,4.97,0.135,1.51,2103.0,K7 V,11.454,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2159,Espinoza
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GO,2304,Kreidberg
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GO,2304,Kreidberg
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GO,2304,Kreidberg
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GO,2304,Kreidberg
TOI-178,TOI-178 e,0.069,0.002,0.01214,3.86,0.197,2.207,600.0,K,11.955,Transit,NIRSPEC.BOTS+G395M,Archived,GO,2319,Hooton
TOI-178,TOI-178 e,0.069,0.002,0.01214,3.86,0.197,2.207,600.0,K,11.955,Transit,NIRSPEC.BOTS+G395M,Skipped,GO,2319,Hooton
TOI-178,TOI-178 e,0.069,0.002,0.01214,3.86,0.197,2.207,600.0,K,11.955,Transit,NIRSPEC.BOTS+G395M,Archived,GO,2319,Hooton
TOI-178,TOI-178 e,0.069,0.002,0.01214,3.86,0.197,2.207,600.0,K,11.955,Transit,NIRSPEC.BOTS+G395M,Archived,GO,2319,Hooton
G-268-38,LHS 1140 b,0.064,0.0,0.01762,5.6,0.154,1.73,226.0,M4.5 V,14.15,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2334,Damiano
G-268-38,LHS 1140 b,0.064,0.0,0.01762,5.6,0.154,1.73,226.0,M4.5 V,14.15,Transit,NIRSPEC.BOTS+G235H,Archived,GO,2334,Damiano
K2-141,K2-141 c,-1.0,-1.0,0.02517,8.0,0.624,7.0,695.0,K7 V,11.454,PhaseC,MIRI.LRS,Archived,GO,2347,Dang
WD1856,WD 1856+534 b,0.069,0.0,13.8,4386.054,0.928,10.4,163.0,nan,17.244,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2358,MacDonald
WD1856,WD 1856+534 b,0.069,0.0,13.8,4386.054,0.928,10.4,163.0,nan,17.244,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2358,MacDonald
WD1856,WD 1856+534 b,0.069,0.0,13.8,4386.054,0.928,10.4,163.0,nan,17.244,Transit,NIRSPEC.BOTS+PRISM,Skipped,GO,2358,MacDonald
WD1856,WD 1856+534 b,0.069,0.0,13.8,4386.054,0.928,10.4,163.0,nan,17.244,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2358,MacDonald
WD-1856+534-,WD 1856+534 b,0.069,0.0,13.8,4386.054,0.928,10.4,163.0,nan,17.244,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2358,MacDonald
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G235H,Archived,GO,2372,Hu
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G235H,Implementation,GO,2372,Hu
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G395H,Failed,GO,2372,Hu
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2372,Hu
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G395H,FlightReady,GO,2372,Hu
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G395H,Implementation,GO,2372,Hu
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G395H,Implementation,GO,2372,Hu
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2420,Rathcke
