#Lothringer et al. 2025
#wvl_cen_um wvl_width_um rp_rs2 rp_rs2_unc
0.18875 0.0037500000000000033 0.016304353032250002 0.0011151062498077002
0.19625 0.0037500000000000033 0.01395573646336 0.00084641509045184
0.20375 0.0037500000000000033 0.015979935594532903 0.000722783844140734
0.21125 0.0037500000000000033 0.014105866328334401 0.000574863378467544
0.21875 0.0037500000000000033 0.0147749689284289 0.000537822700191338
0.22625 0.0037500000000000033 0.01409785774336 0.00042585944816640004
0.23375 0.0037500000000000033 0.0149620209380356 0.00040549653839323194
0.24125 0.0037500000000000033 0.014828132603472401 0.000422405390873592
0.24875 0.0037500000000000033 0.0151552940547856 0.00041705236575268
0.25625 0.0037499999999999756 0.014728108822736398 0.00039126196910782796
0.26375 0.0037499999999999756 0.014714160647763598 0.00043034056354075196
0.27125 0.0037499999999999756 0.014319604526702499 0.00037563212015983
0.27875 0.0037499999999999756 0.0147682454186089 0.000468729960979722
0.28625 0.0037499999999999756 0.0139687886395369 0.000433851013838372
0.29375 0.0037499999999999756 0.0137032964507664 0.000393957499105296
0.30125 0.0037499999999999756 0.013701636574920099 0.000385432077349482
0.30875 0.0037499999999999756 0.0133602805934224 0.000380895190806944
0.31625 0.0037499999999999756 0.0126519146213329 0.000400234917460836
0.32375 0.0037499999999999756 0.012646439651832101 0.00040847685231262603
0.33125 0.0037499999999999756 0.0126474607764649 0.00037687243342113003
0.33875 0.0037499999999999756 0.0123959231155204 0.000425299202802648
0.34625 0.0037499999999999756 0.013321557102902499 0.00041831868761035
0.35375 0.0037499999999999756 0.012111554957300102 0.00041629091932957204
0.36125 0.0037499999999999756 0.01206445214689 0.00042835878158787997
0.37 0.0050000000000000044 0.011918300690740902 0.00037948737474470404
0.38 0.0050000000000000044 0.0124904026546209 0.000307147633957584
0.39 0.0050000000000000044 0.0118170270478225 0.00029103845360548003
0.4 0.0050000000000000044 0.0120471280835481 0.00029931388911811805
0.41 0.0050000000000000044 0.0125968837805056 0.0002293500107856
0.42 0.0050000000000000044 0.0125404856861761 0.000230275150798822
0.43 0.0050000000000000044 0.0123626890650169 0.00021736914814688002
0.44 0.0050000000000000044 0.0120725969326369 0.000260682216034768
0.45 0.0050000000000000044 0.011741252451843601 0.0002421699023205
0.46 0.0050000000000000044 0.012499960002368398 0.000270484121425428
0.47 0.0050000000000000044 0.0126155465291025 0.00028332515789733
0.48 0.0050000000000000044 0.012335469765825599 0.00027693357952034397
0.49 0.0050000000000000044 0.0123614504658436 0.0003379362036391
0.5 0.0050000000000000044 0.012682656259290001 0.00029917344326808003
0.51 0.0050000000000000044 0.012644705633742398 0.000292231584604528
0.52 0.0050000000000000044 0.0126203070552196 0.000328691229936036
0.53 0.0050000000000000044 0.0120219887457289 0.00035532244808850796
0.54 0.0050000000000000044 0.012321512825336101 0.000371082365164188
0.55 0.0050000000000000044 0.0117947745140625 0.000332402020614
0.56 0.0050000000000000044 0.0113162299501729 0.000315594079040992
0.5725 0.007499999999999951 0.011746547374620098 0.000297095795590258
0.5875 0.007499999999999951 0.011614694056820099 0.00029147290908494396
0.6025 0.007499999999999951 0.012680262128488901 0.000363171509958444
0.6175 0.007499999999999951 0.0122534959341601 0.00036344393342986197
0.6325 0.007499999999999951 0.012527463053822501 0.00036442556754358996
0.6475 0.007499999999999951 0.0117716011789401 0.00045107484351566404
0.6625 0.007499999999999951 0.011818316337926401 0.00040742471941128004
0.6825 0.012499999999999956 0.0120205699834896 0.000343256676522552
0.7075 0.012499999999999956 0.012566293416270401 0.00042320820278847205
0.7325 0.012499999999999956 0.0118590379386241 0.00046242977958273597
0.7575 0.012499999999999956 0.012333206361700901 0.000552784908728624
