Planet,Reference,Status,Geometry,Obs,C/O,C/O Lower,C/O Upper,Metallicity,Metallicity Lower,Metallicity Upper,Metallicity Type,Metallicity Solar,log10 R/V,R/V Lower,R/V Upper,R/V Type,Retrieval Type,Notes,Mass,Mass Lower,Mass Upper,T_eq,T_eq Lower,T_eq Upper,Stellar Metallicity,Stellar Metallicity Lower,Stellar Metallicity Upper,Stellar Mass,Stellar Mass Lower,Stellar Mass Upper
GJ 3470 b,Beatty et al. 2024,Published,Transit,NIRCAM/F322W2+NIRCam/F444W,0.35,0.1,0.1,2.1,0.12,0.12,(O+C)/H,Solar,,,,,ScCHIMERA,,0.043734,0.00472,0.00472,661,96,96,0.2,0.1,0.1,0.54,0.04,0.05
WASP-107 b,Sing et al. 2024,Published,Transit,NIRSpec/G395H,0.51,0.21,0.27,1.7,0.13,0.14,(O+C)/H,Solar,,,,,ATMO,,0.096,0.005,0.005,745,17,17,0.02,0.09,0.09,0.68,0.02,0.02
WASP-107 b,Welbanks et al. 2024,Published,Transit,NIRCAM/F322W2+NIRCam/F444W+MIRI/LRS,0.33,0.05,0.06,1.09,0.09,0.17,(O+C)/H,Solar,,,,,ScCHIMERA,,0.096,0.005,0.005,745,17,17,0.02,0.09,0.09,0.68,0.02,0.02
WASP-76 b,Mansfield et al. 2024,Published,Eclipse,Gemini/IGRINS,0.59,0.14,0.13,-0.74,0.17,0.23,(O+C)/H,Solar,,,,,ScCHIMERA,,0.894,0.013,0.014,2226,122,122,0.366,0.053,0.053,1.46,0.02,0.02
WASP-69 b,Schlawin et al. 2024,Published,Eclipse,NIRCAM/F322W2+NIRCam/F444W+MIRI/LRS,0.75,0.1,0.19,0.96,0.17,0.2,(O+C)/H,Solar,,,,,CHIMERA,,0.29,0.03,0.03,988,18,18,0.15,0,0,0.98,0.14,0.14
GQ Lup b,Xuan et al. 2024,Published,Direct,Keck/KPIC,0.7,0.02,0.01,0.39,0.22,0.15,C/H,Solar,,,,,pRT,Mass is range given in SupJup paper,25,15,15,100,100,100,0.35,0.01,0.01,0.7,0.18,0.16
kap And b,Xuan et al. 2024,Published,Direct,Keck/KPIC,0.58,0.04,0.05,-0.1,0.2,0.14,C/H,Solar,,,,,pRT,,22,1.047,23.042,100,200,100,0.36,0.09,0.09,2.6,0.2,0.2
GSC 6214-210 b,Xuan et al. 2024,Published,Direct,Keck/KPIC,0.7,0.06,0.07,0.15,0.3,0.18,C/H,Solar,,,,,pRT,,21,1,1,100,0,0,-0.06,0.01,0.01,0.694,0.06,0.11
2M0122 b,Xuan et al. 2024,Published,Direct,Keck/KPIC,0.37,0.08,0.08,-0.3,0.22,0.15,C/H,Solar,,,,,pRT,Alt name 2MASS J01225093-2439505,25,0,0,100,0,0,0,0,0,0.35,0.02,0.02
ROXs 42B b,Xuan et al. 2024,Published,Direct,Keck/KPIC,0.48,0.08,0.08,0,0.52,0.23,C/H,Solar,,,,,pRT,,13,0,0,100,0,0,0,0,0,-99,-99,-99
DH Tau b,Xuan et al. 2024,Published,Direct,Keck/KPIC,0.54,0.05,0.06,-0.3,0.2,0.15,C/H,Solar,,,,,pRT,,12,3,10,100,0,0,0,0,0,0.33,0,0
ROXs 12 b,Xuan et al. 2024,Published,Direct,Keck/KPIC,0.54,0.05,0.05,-0.3,0.2,0.15,C/H,Solar,,,,,pRT,,19,4,4,100,0,0,0.14,0.01,0.01,0.87,0.08,0.08
HR 8799 e,Molliere et al. 2020,Published,Direct,VLT/GRAVITY,0.6,0.07,0.08,0.48,0.25,0.29,C/H,Solar,,,,,pRT,,10,4,7,108,50,50,0.5,0,0,1.51,0.02,0.04
beta Pic b,Nowak et al. 2020,Published,Direct,VLT/GRAVITY,0.44,0.07,0.05,0.66,0.11,0.13,C/H,Solar,,,,,pRT,,11.7,2.1,2.3,100,0,0,-0.21,0.02,0.03,1.795,0.027,0.027
HR 8799 b,Nasedkin et al. 2024,Published,Direct,VLT/GRAVITY,0.78,0.04,0.03,0.96,0.08,0.08,C/H,Solar,,,,,pRT,Bayesian Model Average,7,2,4,100,0,0,0.47,0,0,1.5,0.3,0.3
HR 8799 c,Nasedkin et al. 2025,Published,Direct,VLT/GRAVITY,0.66,0.01,0.01,1.27,0.06,0.05,C/H,Solar,,,,,pRT,Bayesian Model Average,10,3,3,100,0,0,0.47,0,0,1.5,0.3,0.3
HR 8799 d,Nasedkin et al. 2026,Published,Direct,VLT/GRAVITY,0.6,0.06,0.04,1.2,0.2,0.2,C/H,Solar,,,,,pRT,Bayesian Model Average,10,3,3,100,0,0,0.47,0,0,1.5,0.3,0.3
HR 8799 e,Nasedkin et al. 2027,Published,Direct,VLT/GRAVITY,0.88,0.02,0.02,1.9,0.2,0.1,C/H,Solar,,,,,pRT,Bayesian Model Average,10,4,7,100,50,50,0.5,0,0,1.51,0.02,0.04
AF Lep b,Zhang et al. 2023,Published,Direct,VLT/SPHERE,0.7,0.12,0.09,1.6,0.2,0.2,C/H,Solar,,,,,pRT,Phot+M23&D23 Spec M and R priors,3.2,0.6,0.7,100,300,300,0.19,0.02,0.02,1.2,0.06,0.06
AF Lep b,Palma-Bifani et al. 2024,Published,Direct,VLT/SPHERE,0.5,0.1,0.1,0.7,0.1,0.1,(O+C)/H,Solar,,,,,ForMoSA,,3.2,0.6,0.7,100,300,300,0.19,0.02,0.02,1.2,0.06,0.06
AF Lep b,Balmer et al. 2025,Published,Direct,VLT/GRAVITY,0.55,0.1,0.1,0.75,0.25,0.25,C/H,Solar,,,,,pRT,Using adopted values,3.2,0.6,0.7,100,300,300,0.19,0.02,0.02,1.2,0.06,0.06
